Node,time,pressure,concentration,people,size
Node 0,0,4.499193500325213,400.0,2,36
Node 0,5,4.499193500325213,401.1111111111111,2,36
Node 0,10,4.499193500325213,402.1490095441153,2,36
Node 0,15,4.499193500325213,403.1185193856246,2,36
Node 0,20,4.499193500325213,404.0241468563808,2,36
Node 0,25,4.499193500325213,404.8701012558859,2,36
Node 0,30,4.499193500325213,405.6603145269613,2,36
Node 0,35,4.499193500325213,406.3984595311708,2,36
Node 0,40,4.499193500325213,407.08796712004977,2,36
Node 0,45,4.499193500325213,407.7320420814876,2,36
Node 0,50,4.499193500325213,408.33367803537976,2,36
Node 0,55,4.499193500325213,408.8956713477851,2,36
Node 0,60,4.499193500325213,409.420634128259,2,36
Node 0,65,4.499193500325213,409.91100637077443,2,36
Node 0,70,4.499193500325213,410.36906729466045,2,36
Node 0,75,4.499193500325213,410.79694593827,2,36
Node 0,80,4.499193500325213,411.19663105461655,2,36
Node 0,85,4.499193500325213,411.5699803549726,2,36
Node 0,90,4.499193500325213,411.918729143395,2,36
Node 0,95,4.499193500325213,412.2444983823092,2,36
Node 0,100,4.499193500325213,412.5488022266402,2,36
Node 0,105,4.499193500325213,412.8330550615097,2,36
Node 0,110,4.499193500325213,413.0985780762089,2,36
Node 0,115,4.499193500325213,413.3466054050035,2,36
Node 0,120,4.499193500325213,413.57828986331185,2,36
Node 0,125,4.499193500325213,413.7947083059185,2,36
Node 0,130,4.499193500325213,413.9968666321277,2,36
Node 0,135,4.499193500325213,414.1857044611199,2,36
Node 0,140,4.499193500325213,414.3620994992425,2,36
Node 0,145,4.499193500325213,414.52687161953395,2,36
Node 0,150,4.499193500325213,414.6807866724419,2,36
Node 0,155,4.499193500325213,414.8245600454479,2,36
Node 0,160,4.499193500325213,414.95885998814356,2,36
Node 0,165,4.499193500325213,415.08431071821224,2,36
Node 0,170,4.499193500325213,415.201495322754,2,36
Node 0,175,4.499193500325213,415.3109584684375,2,36
Node 0,180,4.499193500325213,415.4132089330765,2,36
Node 0,185,4.499193500325213,415.50872197039695,2,36
Node 0,190,4.499193500325213,415.5979415189867,2,36
Node 0,195,4.499193500325213,415.6812822656939,2,36
Node 0,200,4.499193500325213,415.75913157306536,5,36
Node 0,205,4.499193500325213,417.49851794645025,5,36
Node 0,210,4.499193500325213,419.1232936986428,5,36
Node 0,215,4.499193500325213,420.64101068510826,5,36
Node 0,220,4.499193500325213,422.05872315890497,5,36
Node 0,225,4.499193500325213,423.3830205584087,5,36
Node 0,230,4.499193500325213,424.6200581346075,5,36
Node 0,235,4.499193500325213,425.7755855603212,5,36
Node 0,240,4.499193500325213,426.8549736543186,5,36
Node 0,245,4.499193500325213,427.8632393445456,5,36
Node 0,250,4.499193500325213,428.80506898649026,5,36
Node 0,255,4.499193500325213,429.6848401450684,5,36
Node 0,260,4.499193500325213,430.5066419412699,5,36
Node 0,265,4.499193500325213,431.2742940581357,5,36
Node 0,270,4.499193500325213,431.99136449440437,5,36
Node 0,275,4.499193500325213,432.66118614834556,5,36
Node 0,280,4.499193500325213,433.28687230886163,5,36
Node 0,285,4.499193500325213,433.87133112585843,5,36
Node 0,290,4.499193500325213,434.4172791271433,5,36
Node 0,295,4.499193500325213,434.9272538446751,5,36
Node 0,300,4.499193500325213,435.4036256088533,5,36
Node 0,305,4.499193500325213,435.8486085656645,5,36
Node 0,310,4.499193500325213,436.26427096789365,5,36
Node 0,315,4.499193500325213,436.6525447882328,5,36
Node 0,320,4.499193500325213,437.0152346989687,5,36
Node 0,325,4.499193500325213,437.354026459986,5,36
Node 0,330,4.499193500325213,437.67049475407316,5,36
Node 0,335,4.499193500325213,437.96611050594885,5,36
Node 0,340,4.499193500325213,438.24224771902766,5,36
Node 0,345,4.499193500325213,438.5001898617015,5,36
Node 0,350,4.499193500325213,438.7411358328197,5,36
Node 0,355,4.499193500325213,438.9662055340957,5,36
Node 0,360,4.499193500325213,439.1764450753397,5,36
Node 0,365,4.499193500325213,439.3728316367111,5,36
Node 0,370,4.499193500325213,439.5562780105905,5,36
Node 0,375,4.499193500325213,439.7276368441813,5,36
Node 0,380,4.499193500325213,439.88770460256006,5,36
Node 0,385,4.499193500325213,440.0372252705963,5,36
Node 0,390,4.499193500325213,440.1768938109472,5,36
Node 0,395,4.499193500325213,440.3073593942004,5,36
Node 0,400,4.499193500325213,440.42922841617786,8,36
Node 0,405,4.499193500325213,442.2097339830925,8,36
Node 0,410,4.499193500325213,443.8729195271629,8,36
Node 0,415,4.499193500325213,445.4265154301502,8,36
Node 0,420,4.499193500325213,446.8777427080592,8,36
Node 0,425,4.499193500325213,448.23334657396646,8,36
Node 0,430,4.499193500325213,449.4996277893461,8,36
Node 0,435,4.499193500325213,450.68247194961276,8,36
Node 0,440,4.499193500325213,451.7873768399988,8,36
Node 0,445,4.499193500325213,452.8194779889141,8,36
Node 0,450,4.499193500325213,453.78357253755905,8,36
Node 0,455,4.499193500325213,454.6841415367349,8,36
Node 0,460,4.499193500325213,455.525370774486,8,36
Node 0,465,4.499193500325213,456.31117023137926,8,36
Node 0,470,4.499193500325213,457.04519225384786,8,36
Node 0,475,4.499193500325213,457.7308485300675,8,36
Node 0,480,4.499193500325213,458.37132594726853,8,36
Node 0,485,4.499193500325213,458.96960140418736,8,36
Node 0,490,4.499193500325213,459.5284556475042,8,36
Node 0,495,4.499193500325213,460.05048619657885,8,36
Node 0,500,4.499193500325213,460.53811941655727,8,36
Node 0,505,4.499193500325213,460.99362179596403,8,36
Node 0,510,4.499193500325213,461.4191104811984,8,36
Node 0,515,4.499193500325213,461.81656311689756,8,36
Node 0,520,4.499193500325213,462.1878270379046,8,36
Node 0,525,4.499193500325213,462.53462785556434,8,36
Node 0,530,4.499193500325213,462.8585774782566,8,36
Node 0,535,4.499193500325213,463.1611816034448,8,36
Node 0,540,4.499193500325213,463.44384671606286,8,36
Node 0,545,4.499193500325213,463.707886625769,8,36
Node 0,550,4.499193500325213,463.9545285734501,8,36
Node 0,555,4.499193500325213,464.18491893536026,8,36
Node 0,560,4.499193500325213,464.40012855140554,8,36
Node 0,565,4.499193500325213,464.6011577023403,8,36
Node 0,570,4.499193500325213,464.7889407590093,8,36
Node 0,575,4.499193500325213,464.9643505252446,8,36
Node 0,580,4.499193500325213,465.12820229460294,8,36
Node 0,585,4.499193500325213,465.28125763979875,8,36
Node 0,590,4.499193500325213,465.42422795244624,8,36
Node 0,595,4.499193500325213,465.5577777495629,8,36
Node 1,0,3.092489844256985,400.0,4,38
Node 1,5,3.092489844256985,403.1578947368421,4,38
Node 1,10,3.092489844256985,406.31578947368416,4,38
Node 1,15,3.092489844256985,409.47368421052624,4,38
Node 1,20,3.092489844256985,412.6315789473683,4,38
Node 1,25,3.092489844256985,415.7894736842104,4,38
Node 1,30,3.092489844256985,418.9473684210525,4,38
Node 1,35,3.092489844256985,422.10526315789457,4,38
Node 1,40,3.092489844256985,425.26315789473665,4,38
Node 1,45,3.092489844256985,428.42105263157873,4,38
Node 1,50,3.092489844256985,431.5789473684208,4,38
Node 1,55,3.092489844256985,434.7368421052629,4,38
Node 1,60,3.092489844256985,437.894736842105,4,38
Node 1,65,3.092489844256985,441.05263157894706,4,38
Node 1,70,3.092489844256985,444.21052631578914,4,38
Node 1,75,3.092489844256985,447.3684210526312,4,38
Node 1,80,3.092489844256985,450.5263157894733,4,38
Node 1,85,3.092489844256985,453.6842105263154,4,38
Node 1,90,3.092489844256985,456.84210526315746,4,38
Node 1,95,3.092489844256985,459.99999999999955,4,38
Node 1,100,3.092489844256985,463.1578947368416,4,38
Node 1,105,3.092489844256985,466.3157894736837,4,38
Node 1,110,3.092489844256985,469.4736842105258,4,38
Node 1,115,3.092489844256985,472.63157894736787,4,38
Node 1,120,3.092489844256985,475.78947368420995,4,38
Node 1,125,3.092489844256985,478.94736842105203,4,38
Node 1,130,3.092489844256985,482.1052631578941,4,38
Node 1,135,3.092489844256985,485.2631578947362,4,38
Node 1,140,3.092489844256985,488.4210526315783,4,38
Node 1,145,3.092489844256985,491.57894736842036,4,38
Node 1,150,3.092489844256985,494.73684210526244,4,38
Node 1,155,3.092489844256985,497.8947368421045,4,38
Node 1,160,3.092489844256985,501.0526315789466,4,38
Node 1,165,3.092489844256985,504.2105263157887,4,38
Node 1,170,3.092489844256985,507.36842105263077,4,38
Node 1,175,3.092489844256985,510.52631578947285,4,38
Node 1,180,3.092489844256985,513.6842105263149,4,38
Node 1,185,3.092489844256985,516.842105263157,4,38
Node 1,190,3.092489844256985,519.9999999999991,4,38
Node 1,195,3.092489844256985,523.1578947368412,4,38
Node 1,200,3.092489844256985,526.3157894736833,6,38
Node 1,205,3.092489844256985,528.9473684210517,6,38
Node 1,210,3.092489844256985,531.5789473684201,6,38
Node 1,215,3.092489844256985,534.2105263157886,6,38
Node 1,220,3.092489844256985,536.842105263157,6,38
Node 1,225,3.092489844256985,539.4736842105254,6,38
Node 1,230,3.092489844256985,542.1052631578939,6,38
Node 1,235,3.092489844256985,544.7368421052623,6,38
Node 1,240,3.092489844256985,547.3684210526308,6,38
Node 1,245,3.092489844256985,549.9999999999992,6,38
Node 1,250,3.092489844256985,552.6315789473676,6,38
Node 1,255,3.092489844256985,555.2631578947361,6,38
Node 1,260,3.092489844256985,557.8947368421045,6,38
Node 1,265,3.092489844256985,560.526315789473,6,38
Node 1,270,3.092489844256985,563.1578947368414,6,38
Node 1,275,3.092489844256985,565.7894736842098,6,38
Node 1,280,3.092489844256985,568.4210526315783,6,38
Node 1,285,3.092489844256985,571.0526315789467,6,38
Node 1,290,3.092489844256985,573.6842105263152,6,38
Node 1,295,3.092489844256985,576.3157894736836,6,38
Node 1,300,3.092489844256985,578.947368421052,6,38
Node 1,305,3.092489844256985,581.5789473684205,6,38
Node 1,310,3.092489844256985,584.2105263157889,6,38
Node 1,315,3.092489844256985,586.8421052631574,6,38
Node 1,320,3.092489844256985,589.4736842105258,6,38
Node 1,325,3.092489844256985,592.1052631578942,6,38
Node 1,330,3.092489844256985,594.7368421052627,6,38
Node 1,335,3.092489844256985,597.3684210526311,6,38
Node 1,340,3.092489844256985,599.9999999999995,6,38
Node 1,345,3.092489844256985,602.631578947368,6,38
Node 1,350,3.092489844256985,605.2631578947364,6,38
Node 1,355,3.092489844256985,607.8947368421049,6,38
Node 1,360,3.092489844256985,610.5263157894733,6,38
Node 1,365,3.092489844256985,613.1578947368417,6,38
Node 1,370,3.092489844256985,615.7894736842102,6,38
Node 1,375,3.092489844256985,618.4210526315786,6,38
Node 1,380,3.092489844256985,621.0526315789471,6,38
Node 1,385,3.092489844256985,623.6842105263155,6,38
Node 1,390,3.092489844256985,626.3157894736839,6,38
Node 1,395,3.092489844256985,628.9473684210524,6,38
Node 1,400,3.092489844256985,631.5789473684208,2,38
Node 1,405,3.092489844256985,632.1052631578945,2,38
Node 1,410,3.092489844256985,632.6315789473681,2,38
Node 1,415,3.092489844256985,633.1578947368417,2,38
Node 1,420,3.092489844256985,633.6842105263154,2,38
Node 1,425,3.092489844256985,634.210526315789,2,38
Node 1,430,3.092489844256985,634.7368421052627,2,38
Node 1,435,3.092489844256985,635.2631578947363,2,38
Node 1,440,3.092489844256985,635.78947368421,2,38
Node 1,445,3.092489844256985,636.3157894736836,2,38
Node 1,450,3.092489844256985,636.8421052631572,2,38
Node 1,455,3.092489844256985,637.3684210526309,2,38
Node 1,460,3.092489844256985,637.8947368421045,2,38
Node 1,465,3.092489844256985,638.4210526315782,2,38
Node 1,470,3.092489844256985,638.9473684210518,2,38
Node 1,475,3.092489844256985,639.4736842105254,2,38
Node 1,480,3.092489844256985,639.9999999999991,2,38
Node 1,485,3.092489844256985,640.5263157894727,2,38
Node 1,490,3.092489844256985,641.0526315789464,2,38
Node 1,495,3.092489844256985,641.57894736842,2,38
Node 1,500,3.092489844256985,642.1052631578937,2,38
Node 1,505,3.092489844256985,642.6315789473673,2,38
Node 1,510,3.092489844256985,643.157894736841,2,38
Node 1,515,3.092489844256985,643.6842105263146,2,38
Node 1,520,3.092489844256985,644.2105263157882,2,38
Node 1,525,3.092489844256985,644.7368421052619,2,38
Node 1,530,3.092489844256985,645.2631578947355,2,38
Node 1,535,3.092489844256985,645.7894736842092,2,38
Node 1,540,3.092489844256985,646.3157894736828,2,38
Node 1,545,3.092489844256985,646.8421052631564,2,38
Node 1,550,3.092489844256985,647.3684210526301,2,38
Node 1,555,3.092489844256985,647.8947368421037,2,38
Node 1,560,3.092489844256985,648.4210526315774,2,38
Node 1,565,3.092489844256985,648.947368421051,2,38
Node 1,570,3.092489844256985,649.4736842105247,2,38
Node 1,575,3.092489844256985,649.9999999999983,2,38
Node 1,580,3.092489844256985,650.5263157894719,2,38
Node 1,585,3.092489844256985,651.0526315789456,2,38
Node 1,590,3.092489844256985,651.5789473684192,2,38
Node 1,595,3.092489844256985,652.1052631578929,2,38
Node 2,0,3.0366303395434358,400.0,4,48
Node 2,5,3.0366303395434358,402.9166666666667,4,48
Node 2,10,3.0366303395434358,405.8366081602829,4,48
Node 2,15,3.0366303395434358,408.7597386255581,4,48
Node 2,20,3.0366303395434358,411.6859747435584,4,48
Node 2,25,3.0366303395434358,414.61523565575715,4,48
Node 2,30,3.0366303395434358,417.5474428903631,4,48
Node 2,35,3.0366303395434358,420.48252029085774,4,48
Node 2,40,3.0366303395434358,423.42039394667586,4,48
Node 2,45,3.0366303395434358,426.3609921259641,4,48
Node 2,50,3.0366303395434358,429.3042452103565,4,48
Node 2,55,3.0366303395434358,432.2500856317053,4,48
Node 2,60,3.0366303395434358,435.19844781070947,4,48
Node 2,65,3.0366303395434358,438.14926809738296,4,48
Node 2,70,3.0366303395434358,441.10248471330857,4,48
Node 2,75,3.0366303395434358,444.0580376956229,4,48
Node 2,80,3.0366303395434358,447.01586884268124,4,48
Node 2,85,3.0366303395434358,449.9759216613516,4,48
Node 2,90,3.0366303395434358,452.9381413158891,4,48
Node 2,95,3.0366303395434358,455.90247457834323,4,48
Node 2,100,3.0366303395434358,458.8688697804525,4,48
Node 2,105,3.0366303395434358,461.837276766981,4,48
Node 2,110,3.0366303395434358,464.8076468504546,4,48
Node 2,115,3.0366303395434358,467.77993276725385,4,48
Node 2,120,3.0366303395434358,470.7540886350239,4,48
Node 2,125,3.0366303395434358,473.7300699113609,4,48
Node 2,130,3.0366303395434358,476.7078333537375,4,48
Node 2,135,3.0366303395434358,479.6873369806297,4,48
Node 2,140,3.0366303395434358,482.66854003380934,4,48
Node 2,145,3.0366303395434358,485.651402941767,4,48
Node 2,150,3.0366303395434358,488.6358872842317,4,48
Node 2,155,3.0366303395434358,491.62195575775445,4,48
Node 2,160,3.0366303395434358,494.6095721423232,4,48
Node 2,165,3.0366303395434358,497.59870126897954,4,48
Node 2,170,3.0366303395434358,500.5893089884054,4,48
Node 2,175,3.0366303395434358,503.58136214045203,4,48
Node 2,180,3.0366303395434358,506.57482852458264,4,48
Node 2,185,3.0366303395434358,509.56967687120084,4,48
Node 2,190,3.0366303395434358,512.5658768138387,4,48
Node 2,195,3.0366303395434358,515.5633988621788,4,48
Node 2,200,3.0366303395434358,518.5622143758849,7,48
Node 2,205,3.0366303395434358,519.0622955392171,7,48
Node 2,210,3.0366303395434358,519.5693565320224,7,48
Node 2,215,3.0366303395434358,520.0833657969487,7,48
Node 2,220,3.0366303395434358,520.6042921681063,7,48
Node 2,225,3.0366303395434358,521.1321048610612,7,48
Node 2,230,3.0366303395434358,521.6667734631205,7,48
Node 2,235,3.0366303395434358,522.2082679239061,7,48
Node 2,240,3.0366303395434358,522.7565585462037,7,48
Node 2,245,3.0366303395434358,523.3116159770826,7,48
Node 2,250,3.0366303395434358,523.8734111992756,7,48
Node 2,255,3.0366303395434358,524.4419155228118,7,48
Node 2,260,3.0366303395434358,525.0171005768963,7,48
Node 2,265,3.0366303395434358,525.5989383020266,7,48
Node 2,270,3.0366303395434358,526.1874009423415,7,48
Node 2,275,3.0366303395434358,526.7824610381932,7,48
Node 2,280,3.0366303395434358,527.3840914189377,7,48
Node 2,285,3.0366303395434358,527.9922651959356,7,48
Node 2,290,3.0366303395434358,528.606955755758,7,48
Node 2,295,3.0366303395434358,529.2281367535909,7,48
Node 2,300,3.0366303395434358,529.8557821068322,7,48
Node 2,305,3.0366303395434358,530.4898659888754,7,48
Node 2,310,3.0366303395434358,531.1303628230748,7,48
Node 2,315,3.0366303395434358,531.7772472768869,7,48
Node 2,320,3.0366303395434358,532.4304942561813,7,48
Node 2,325,3.0366303395434358,533.0900788997185,7,48
Node 2,330,3.0366303395434358,533.7559765737872,7,48
Node 2,335,3.0366303395434358,534.4281628669979,7,48
Node 2,340,3.0366303395434358,535.1066135852277,7,48
Node 2,345,3.0366303395434358,535.7913047467109,7,48
Node 2,350,3.0366303395434358,536.4822125772728,7,48
Node 2,355,3.0366303395434358,537.1793135057006,7,48
Node 2,360,3.0366303395434358,537.8825841592493,7,48
Node 2,365,3.0366303395434358,538.5920013592757,7,48
Node 2,370,3.0366303395434358,539.3075421170003,7,48
Node 2,375,3.0366303395434358,540.0291836293894,7,48
Node 2,380,3.0366303395434358,540.756903275158,7,48
Node 2,385,3.0366303395434358,541.4906786108855,7,48
Node 2,390,3.0366303395434358,542.2304873672445,7,48
Node 2,395,3.0366303395434358,542.9763074453368,7,48
Node 2,400,3.0366303395434358,543.7281169131358,2,48
Node 2,405,3.0366303395434358,546.1525606686955,2,48
Node 2,410,3.0366303395434358,548.5835925225456,2,48
Node 2,415,3.0366303395434358,551.0208165997177,2,48
Node 2,420,3.0366303395434358,553.4638495172392,2,48
Node 2,425,3.0366303395434358,555.9123200075439,2,48
Node 2,430,3.0366303395434358,558.3658685531838,2,48
Node 2,435,3.0366303395434358,560.8241470325014,2,48
Node 2,440,3.0366303395434358,563.2868183759366,2,48
Node 2,445,3.0366303395434358,565.753556232646,2,48
Node 2,450,3.0366303395434358,568.2240446471274,2,48
Node 2,455,3.0366303395434358,570.6979777455488,2,48
Node 2,460,3.0366303395434358,573.1750594314913,2,48
Node 2,465,3.0366303395434358,575.6550030908224,2,48
Node 2,470,3.0366303395434358,578.1375313054269,2,48
Node 2,475,3.0366303395434358,580.6223755755293,2,48
Node 2,480,3.0366303395434358,583.1092760503501,2,48
Node 2,485,3.0366303395434358,585.5979812668461,2,48
Node 2,490,3.0366303395434358,588.0882478962922,2,48
Node 2,495,3.0366303395434358,590.5798404984688,2,48
Node 2,500,3.0366303395434358,593.0725312832286,2,48
Node 2,505,3.0366303395434358,595.5660998792188,2,48
Node 2,510,3.0366303395434358,598.0603331095463,2,48
Node 2,515,3.0366303395434358,600.5550247741767,2,48
Node 2,520,3.0366303395434358,603.0499754388651,2,48
Node 2,525,3.0366303395434358,605.5449922304228,2,48
Node 2,530,3.0366303395434358,608.0398886381305,2,48
Node 2,535,3.0366303395434358,610.534484321112,2,48
Node 2,540,3.0366303395434358,613.0286049214925,2,48
Node 2,545,3.0366303395434358,615.5220818831644,2,48
Node 2,550,3.0366303395434358,618.0147522759954,2,48
Node 2,555,3.0366303395434358,620.5064586253138,2,48
Node 2,560,3.0366303395434358,622.9970487465142,2,48
Node 2,565,3.0366303395434358,625.4863755846283,2,48
Node 2,570,3.0366303395434358,627.9742970587133,2,48
Node 2,575,3.0366303395434358,630.4606759109129,2,48
Node 2,580,3.0366303395434358,632.9453795600504,2,48
Node 2,585,3.0366303395434358,635.4282799596184,2,48
Node 2,590,3.0366303395434358,637.9092534600336,2,48
Node 2,595,3.0366303395434358,640.3881806750273,2,48
Node 3,0,3.0384633388883864,400.0,4,31
Node 3,5,3.0384633388883864,403.96567851582296,4,31
Node 3,10,3.0384633388883864,407.9071301864796,4,31
Node 3,15,3.0384633388883864,411.82508161733386,4,31
Node 3,20,3.0384633388883864,415.7202376215868,4,31
Node 3,25,3.0384633388883864,419.59328187386177,4,31
Node 3,30,3.0384633388883864,423.44487754418697,4,31
Node 3,35,3.0384633388883864,427.2756679129642,4,31
Node 3,40,3.0384633388883864,431.0862769674935,4,31
Node 3,45,3.0384633388883864,434.8773099806069,4,31
Node 3,50,3.0384633388883864,438.64935407194787,4,31
Node 3,55,3.0384633388883864,442.40297875241725,4,31
Node 3,60,3.0384633388883864,446.1387364522902,4,31
Node 3,65,3.0384633388883864,449.85716303349375,4,31
Node 3,70,3.0384633388883864,453.55877828652075,4,31
Node 3,75,3.0384633388883864,457.2440864124401,4,31
Node 3,80,3.0384633388883864,460.9135764904507,4,31
Node 3,85,3.0384633388883864,464.56772293141285,4,31
Node 3,90,3.0384633388883864,468.2069859177773,4,31
Node 3,95,3.0384633388883864,471.83181183031996,4,31
Node 3,100,3.0384633388883864,475.44263366207844,4,31
Node 3,105,3.0384633388883864,479.0398714198734,4,31
Node 3,110,3.0384633388883864,482.62393251378813,4,31
Node 3,115,3.0384633388883864,486.19521213496654,4,31
Node 3,120,3.0384633388883864,489.75409362208046,4,31
Node 3,125,3.0384633388883864,493.30094881680606,4,31
Node 3,130,3.0384633388883864,496.8361384086387,4,31
