Node,time,pressure,concentration,people,size
Node 0,0,3.672632667035063,400.0,9,42
Node 0,5,3.672632667035063,404.2857142857143,9,42
Node 0,10,3.672632667035063,408.57142857142856,9,42
Node 0,15,3.672632667035063,412.85714285714283,9,42
Node 0,20,3.672632667035063,417.1428571428571,9,42
Node 0,25,3.672632667035063,421.4285714285714,9,42
Node 0,30,3.672632667035063,425.71428571428567,9,42
Node 0,35,3.672632667035063,429.99999999999994,9,42
Node 0,40,3.672632667035063,434.2857142857142,9,42
Node 0,45,3.672632667035063,438.5714285714285,9,42
Node 0,50,3.672632667035063,442.8571428571428,9,42
Node 0,55,3.672632667035063,447.14285714285705,9,42
Node 0,60,3.672632667035063,451.42857142857133,9,42
Node 0,65,3.672632667035063,455.7142857142856,9,42
Node 0,70,3.672632667035063,459.9999999999999,9,42
Node 0,75,3.672632667035063,464.28571428571416,9,42
Node 0,80,3.672632667035063,468.57142857142844,9,42
Node 0,85,3.672632667035063,472.8571428571427,9,42
Node 0,90,3.672632667035063,477.142857142857,9,42
Node 0,95,3.672632667035063,481.4285714285713,9,42
Node 0,100,3.672632667035063,485.71428571428555,9,42
Node 0,105,3.672632667035063,489.99999999999983,9,42
Node 0,110,3.672632667035063,494.2857142857141,9,42
Node 0,115,3.672632667035063,498.5714285714284,9,42
Node 0,120,3.672632667035063,502.85714285714266,9,42
Node 0,125,3.672632667035063,507.14285714285694,9,42
Node 0,130,3.672632667035063,511.4285714285712,9,42
Node 0,135,3.672632667035063,515.7142857142856,9,42
Node 0,140,3.672632667035063,519.9999999999999,9,42
Node 0,145,3.672632667035063,524.2857142857142,9,42
Node 0,150,3.672632667035063,528.5714285714286,9,42
Node 0,155,3.672632667035063,532.8571428571429,9,42
Node 0,160,3.672632667035063,537.1428571428572,9,42
Node 0,165,3.672632667035063,541.4285714285716,9,42
Node 0,170,3.672632667035063,545.7142857142859,9,42
Node 0,175,3.672632667035063,550.0000000000002,9,42
Node 0,180,3.672632667035063,554.2857142857146,9,42
Node 0,185,3.672632667035063,558.5714285714289,9,42
Node 0,190,3.672632667035063,562.8571428571432,9,42
Node 0,195,3.672632667035063,567.1428571428576,9,42
Node 0,200,3.672632667035063,571.4285714285719,10,42
Node 0,205,3.672632667035063,576.1904761904767,10,42
