Node1,Node2,Flow
0,1.0,-0.013939982770947525
1,2.0,-0.08968275691906862
2,3.0,0.06075705063836241
3,4.0,0.043433804174660966
4,5.0,-0.09636678570009358
5,6.0,-0.006807071643537043
6,7.0,-0.020421317253448652
7,8.0,-0.056888192734458776
0,4.0,0.07475419225098488
5,6.0,-0.013614143287074085
2,5.0,0.08296955622202015
3,5.0,0.017928308158236192
5,0.0,0.06081420991076471
7,5.0,0.035861847327657036
3,7.0,-0.0006125031309866516
2,8.0,0.05688819273972178
1,4.0,0.0757427745569341
4,-inf,-0.7148317706624817
2,-inf,-0.29029755644736027
4,-inf,1.0051293271096846
