Node,time,pressure,concentration,people,size
Node 0,0,8.29847095285265,400.0,1,31
Node 0,5,8.29847095285265,400.64516129032256,1,31
Node 0,10,8.29847095285265,401.44184860439947,1,31
Node 0,15,8.29847095285265,402.38018046007403,1,31
Node 0,20,8.29847095285265,403.4509170324636,1,31
Node 0,25,8.29847095285265,404.64541953629487,1,31
Node 0,30,8.29847095285265,405.95561212681287,1,31
Node 0,35,8.29847095285265,407.3739461646046,1,31
Node 0,40,8.29847095285265,408.8933666991449,1,31
Node 0,45,8.29847095285265,410.5072810347646,1,31
Node 0,50,8.29847095285265,412.20952925108566,1,31
Node 0,55,8.29847095285265,413.9943565578022,1,31
Node 0,60,8.29847095285265,415.8563873710425,1,31
Node 0,65,8.29847095285265,417.7906010054506,1,31
Node 0,70,8.29847095285265,419.7923088826081,1,31
Node 0,75,8.29847095285265,421.8571331625034,1,31
Node 0,80,8.29847095285265,423.98098671046574,1,31
Node 0,85,8.29847095285265,426.16005431734806,1,31
Node 0,90,8.29847095285265,428.3907750957737,1,31
Node 0,95,8.29847095285265,430.6698259799919,1,31
Node 0,100,8.29847095285265,432.99410626132317,1,31
Node 0,105,8.29847095285265,435.3607230953412,1,31
Node 0,110,8.29847095285265,437.7669779208506,1,31
Node 0,115,8.29847095285265,440.21035373439014,1,31
Node 0,120,8.29847095285265,442.6885031674394,1,31
Node 0,125,8.29847095285265,445.1992373167424,1,31
Node 0,130,8.29847095285265,447.7405152812006,1,31
Node 0,135,8.29847095285265,450.31043436163986,1,31
Node 0,140,8.29847095285265,452.9072208824349,1,31
Node 0,145,8.29847095285265,455.52922159648733,1,31
Node 0,150,8.29847095285265,458.17489563741583,1,31
Node 0,155,8.29847095285265,460.8428069850317,1,31
Node 0,160,8.29847095285265,463.53161741225426,1,31
Node 0,165,8.29847095285265,466.24007988357437,1,31
Node 0,170,8.29847095285265,468.96703237700706,1,31
Node 0,175,8.29847095285265,471.71139210319745,1,31
Node 0,180,8.29847095285265,474.4721500969597,1,31
Node 0,185,8.29847095285265,477.24836615804645,1,31
Node 0,190,8.29847095285265,480.0391641193721,1,31
Node 0,195,8.29847095285265,482.84372742224946,1,31
Node 0,200,8.29847095285265,485.6612949794563,3,31
Node 0,205,8.29847095285265,489.78147988877237,3,31
Node 0,210,8.29847095285265,493.8822558207119,3,31
Node 0,215,8.29847095285265,497.9646714815306,3,31
Node 0,220,8.29847095285265,502.02970956046374,3,31
Node 0,225,8.29847095285265,506.0782904893005,3,31
Node 0,230,8.29847095285265,510.1112759954317,3,31
Node 0,235,8.29847095285265,514.1294724596996,3,31
Node 0,240,8.29847095285265,518.1336340897511,3,31
Node 0,245,8.29847095285265,522.1244659189992,3,31
Node 0,250,8.29847095285265,526.1026266407403,3,31
Node 0,255,8.29847095285265,530.0687312864432,3,31
Node 0,260,8.29847095285265,534.0233537567309,3,31
Node 0,265,8.29847095285265,537.967029213101,3,31
Node 0,270,8.29847095285265,541.900256337989,3,31
Node 0,275,8.29847095285265,545.8234994703591,3,31
Node 0,280,8.29847095285265,549.7371906236107,3,31
