Node1,Node2,Flow
0,1.0,-0.21323830848187902
1,2.0,-0.05661522220492882
2,3.0,-0.029121236760919468
3,4.0,-0.02457053416257215
4,5.0,-0.047431735484030166
5,6.0,-0.08037217833914959
6,7.0,-0.06658471854456748
7,8.0,-0.23464235366537056
5,2.0,0.032940478311400186
2,4.0,-0.022861162013928227
6,7.0,-0.05548726545380624
3,1.0,0.06415774384774027
6,3.0,0.13286613357188237
1,3.0,-0.06415774384774027
0,7.0,-0.11257030255912119
1,2.0,-0.02830761110246441
0,-inf,0.32580861587557935
8,-inf,-0.234642351577233
6,-inf,-0.4815584020894792
6,-inf,0.39039213812282375
