Node,time,pressure,concentration,people,size
Node 0,0,8.954206964344797,400.0,3,57
Node 0,5,8.954206964344797,401.05263157894734,3,57
Node 0,10,8.954206964344797,402.10569249397616,3,57
Node 0,15,8.954206964344797,403.1591780743219,3,57
Node 0,20,8.954206964344797,404.21308369218144,3,57
Node 0,25,8.954206964344797,405.26740476234545,3,57
Node 0,30,8.954206964344797,406.3221367418339,3,57
Node 0,35,8.954206964344797,407.37727512953467,3,57
Node 0,40,8.954206964344797,408.4328154658448,3,57
Node 0,45,8.954206964344797,409.488753332315,3,57
Node 0,50,8.954206964344797,410.5450843512972,3,57
Node 0,55,8.954206964344797,411.60180418559446,3,57
Node 0,60,8.954206964344797,412.6589085381144,3,57
Node 0,65,8.954206964344797,413.7163931515252,3,57
Node 0,70,8.954206964344797,414.77425380791425,3,57
Node 0,75,8.954206964344797,415.83248632845005,3,57
Node 0,80,8.954206964344797,416.89108657304655,3,57
Node 0,85,8.954206964344797,417.95005044003045,3,57
Node 0,90,8.954206964344797,419.00937386581114,3,57
Node 0,95,8.954206964344797,420.06905282455347,3,57
Node 0,100,8.954206964344797,421.12908332785304,3,57
Node 0,105,8.954206964344797,422.18946142441445,3,57
Node 0,110,8.954206964344797,423.250183199732,3,57
Node 0,115,8.954206964344797,424.3112447757731,3,57
Node 0,120,8.954206964344797,425.3726423106642,3,57
Node 0,125,8.954206964344797,426.43437199837956,3,57
Node 0,130,8.954206964344797,427.49643006843223,3,57
Node 0,135,8.954206964344797,428.5588127855681,3,57
Node 0,140,8.954206964344797,429.6215164494618,3,57
Node 0,145,8.954206964344797,430.6845373944159,3,57
Node 0,150,8.954206964344797,431.7478719890618,3,57
Node 0,155,8.954206964344797,432.81151663606386,3,57
Node 0,160,8.954206964344797,433.87546777182524,3,57
Node 0,165,8.954206964344797,434.93972186619686,3,57
Node 0,170,8.954206964344797,436.00427542218836,3,57
Node 0,175,8.954206964344797,437.0691249756814,3,57
Node 0,180,8.954206964344797,438.1342670951458,3,57
Node 0,185,8.954206964344797,439.19969838135734,3,57
Node 0,190,8.954206964344797,440.26541546711866,3,57
Node 0,195,8.954206964344797,441.33141501698185,3,57
Node 0,200,8.954206964344797,442.39769372697367,5,57
Node 0,205,8.954206964344797,444.1660027102879,5,57
Node 0,210,8.954206964344797,445.93112885254084,5,57
Node 0,215,8.954206964344797,447.69306037354494,5,57
Node 0,220,8.954206964344797,449.4517857646388,5,57
Node 0,225,8.954206964344797,451.2072937856856,5,57
Node 0,230,8.954206964344797,452.9595734620991,5,57
Node 0,235,8.954206964344797,454.70861408189774,5,57
Node 0,240,8.954206964344797,456.45440519278526,5,57
Node 0,245,8.954206964344797,458.1969365992591,5,57
Node 0,250,8.954206964344797,459.9361983597452,5,57
Node 0,255,8.954206964344797,461.67218078375953,5,57
Node 0,260,8.954206964344797,463.40487442909597,5,57
