Node,time,pressure,concentration,people,size
Node 0,0,4.648275862359662,400.0,6,46
Node 0,5,4.648275862359662,402.60869565217394,6,46
Node 0,10,4.648275862359662,405.21739064772595,6,46
Node 0,15,4.648275862359662,407.8260849866569,6,46
Node 0,20,4.648275862359662,410.4347786689675,6,46
Node 0,25,4.648275862359662,413.04347169465854,6,46
Node 0,30,4.648275862359662,415.65216406373077,6,46
Node 0,35,4.648275862359662,418.260855776185,6,46
Node 0,40,4.648275862359662,420.86954683202197,6,46
Node 0,45,4.648275862359662,423.4782372312425,6,46
Node 0,50,4.648275862359662,426.0869269738473,6,46
Node 0,55,4.648275862359662,428.6956160598372,6,46
Node 0,60,4.648275862359662,431.304304489213,6,46
Node 0,65,4.648275862359662,433.9129922619754,6,46
Node 0,70,4.648275862359662,436.52167937812516,6,46
Node 0,75,4.648275862359662,439.13036583766313,6,46
Node 0,80,4.648275862359662,441.73905164059005,6,46
Node 0,85,4.648275862359662,444.3477367869067,6,46
Node 0,90,4.648275862359662,446.9564212766138,6,46
Node 0,95,4.648275862359662,449.5651051097122,6,46
Node 0,100,4.648275862359662,452.17378828620264,6,46
Node 0,105,4.648275862359662,454.7824708060859,6,46
Node 0,110,4.648275862359662,457.3911526693627,6,46
Node 0,115,4.648275862359662,459.9998338760339,6,46
Node 0,120,4.648275862359662,462.6085144261002,6,46
Node 0,125,4.648275862359662,465.21719431956245,6,46
Node 0,130,4.648275862359662,467.82587355642136,6,46
Node 0,135,4.648275862359662,470.4345521366777,6,46
Node 0,140,4.648275862359662,473.04323006033235,6,46
Node 0,145,4.648275862359662,475.65190732738597,6,46
Node 0,150,4.648275862359662,478.2605839378394,6,46
Node 0,155,4.648275862359662,480.86925989169333,6,46
Node 0,160,4.648275862359662,483.4779351889486,6,46
Node 0,165,4.648275862359662,486.08660982960595,6,46
Node 0,170,4.648275862359662,488.69528381366615,6,46
Node 0,175,4.648275862359662,491.30395714113,6,46
Node 0,180,4.648275862359662,493.9126298119983,6,46
Node 0,185,4.648275862359662,496.5213018262717,6,46
Node 0,190,4.648275862359662,499.12997318395117,6,46
Node 0,195,4.648275862359662,501.73864388503733,6,46
Node 0,200,4.648275862359662,504.347313929531,7,46
Node 0,205,4.648275862359662,507.39076592612867,7,46
Node 0,210,4.648275862359662,510.4342173580624,7,46
Node 0,215,4.648275862359662,513.477668225333,7,46
Node 0,220,4.648275862359662,516.521118527941,7,46
Node 0,225,4.648275862359662,519.564568265887,7,46
Node 0,230,4.648275862359662,522.6080174391719,7,46
Node 0,235,4.648275862359662,525.6514660477962,7,46
Node 0,240,4.648275862359662,528.6949140917607,7,46
Node 0,245,4.648275862359662,531.7383615710659,7,46
Node 0,250,4.648275862359662,534.7818084857125,7,46
Node 0,255,4.648275862359662,537.8252548357013,7,46
Node 0,260,4.648275862359662,540.8687006210329,7,46
Node 0,265,4.648275862359662,543.9121458417078,7,46
Node 0,270,4.648275862359662,546.9555904977269,7,46
Node 0,275,4.648275862359662,549.9990345890908,7,46
Node 0,280,4.648275862359662,553.0424781158001,7,46
Node 0,285,4.648275862359662,556.0859210778555,7,46
Node 0,290,4.648275862359662,559.1293634752576,7,46
Node 0,295,4.648275862359662,562.1728053080071,7,46
Node 0,300,4.648275862359662,565.2162465761048,7,46
Node 0,305,4.648275862359662,568.2596872795513,7,46
Node 0,310,4.648275862359662,571.3031274183471,7,46
Node 0,315,4.648275862359662,574.3465669924931,7,46
Node 0,320,4.648275862359662,577.3900060019897,7,46
Node 0,325,4.648275862359662,580.4334444468378,7,46
Node 0,330,4.648275862359662,583.476882327038,7,46
Node 0,335,4.648275862359662,586.520319642591,7,46
Node 0,340,4.648275862359662,589.5637563934973,7,46
Node 0,345,4.648275862359662,592.6071925797578,7,46
Node 0,350,4.648275862359662,595.650628201373,7,46
Node 0,355,4.648275862359662,598.6940632583436,7,46
Node 0,360,4.648275862359662,601.7374977506703,7,46
Node 0,365,4.648275862359662,604.7809316783537,7,46
Node 0,370,4.648275862359662,607.8243650413945,7,46
