Node,pressure,concentration,people
Node 0,5.530952049927149,400.0,9
Node 0,5.530952049927149,400.0,9
Node 0,5.530952049927149,400.6666666666667,9
Node 0,5.530952049927149,401.33244517327154,9
Node 0,5.530952049927149,401.99733496906794,9
Node 0,5.530952049927149,402.66133551866164,9
Node 0,5.530952049927149,403.32444630186853,9
Node 0,5.530952049927149,403.98666681357383,9
Node 0,5.530952049927149,404.64799656359247,9
Node 0,5.530952049927149,405.3084350765312,9
Node 0,5.530952049927149,405.96798189165196,9
Node 0,5.530952049927149,406.6266365627364,9
Node 0,5.530952049927149,407.28439865795224,9
Node 0,5.530952049927149,407.9412677597205,9
Node 0,5.530952049927149,408.59724346458444,9
Node 0,5.530952049927149,409.25232538307944,9
Node 0,5.530952049927149,409.9065131396045,9
Node 0,5.530952049927149,410.5598063722949,9
Node 0,5.530952049927149,411.212204732896,9
Node 0,5.530952049927149,411.8637078866387,9
Node 0,5.530952049927149,412.51431551211556,9
Node 0,5.530952049927149,413.1640273011587,9
Node 0,5.530952049927149,413.8128429587184,9
Node 0,5.530952049927149,414.4607622027436,9
Node 0,5.530952049927149,415.10778476406267,9
Node 0,5.530952049927149,415.75391038626617,9
Node 0,5.530952049927149,416.39913882559034,9
Node 0,5.530952049927149,417.04346985080184,9
Node 0,5.530952049927149,417.6869032430836,9
Node 0,5.530952049927149,418.32943879592176,9
Node 0,5.530952049927149,418.971076314994,9
Node 0,5.530952049927149,419.6118156180585,9
Node 0,5.530952049927149,420.25165653484424,9
Node 0,5.530952049927149,420.8905989069426,9
Node 0,5.530952049927149,421.5286425876995,9
Node 0,5.530952049927149,422.16578744210886,9
Node 0,5.530952049927149,422.80203334670733,9
Node 0,5.530952049927149,423.43738018946965,9
Node 0,5.530952049927149,424.0718278697052,9
Node 0,5.530952049927149,424.7053762979556,9
Node 0,5.530952049927149,425.3380253958931,9
Node 0,5.530952049927149,425.9697750962203,9
Node 0,5.530952049927149,426.6006253425704,9
Node 0,5.530952049927149,427.2305760894088,9
Node 0,5.530952049927149,427.8596273019354,9
Node 0,5.530952049927149,428.48777895598795,9
Node 0,5.530952049927149,429.1150310379463,9
Node 0,5.530952049927149,429.7413835446376,9
Node 0,5.530952049927149,430.36683648324214,9
Node 0,5.530952049927149,430.9913898712007,9
Node 0,5.530952049927149,431.615043736122,9
Node 0,5.530952049927149,432.23779811569176,9
Node 0,5.530952049927149,432.85965305758197,9
Node 0,5.530952049927149,433.48060861936165,9
Node 0,5.530952049927149,434.10066486840793,9
Node 0,5.530952049927149,434.71982188181823,9
Node 0,5.530952049927149,435.3380797463233,9
Node 0,5.530952049927149,435.9554385582008,9
Node 0,5.530952049927149,436.57189842319013,9
Node 0,5.530952049927149,437.18745945640774,9
Node 0,5.530952049927149,437.8021217822631,9
Node 0,5.530952049927149,438.41588553437606,9
Node 0,5.530952049927149,439.0287508554942,9
Node 0,5.530952049927149,439.6407178974116,9
Node 0,5.530952049927149,440.25178682088807,9
Node 0,5.530952049927149,440.86195779556897,9
Node 0,5.530952049927149,441.47123099990625,9
Node 0,5.530952049927149,442.07960662107973,9
Node 0,5.530952049927149,442.68708485491936,9
Node 0,5.530952049927149,443.2936659058283,9
Node 0,5.530952049927149,443.8993499867062,9
Node 0,5.530952049927149,444.50413731887414,9
Node 0,5.530952049927149,445.108028131999,9
Node 0,5.530952049927149,445.7110226640196,9
